"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","PC1","PC1_category"
"ts11188","The Flash","SHOW","After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",2014,"TV-14",42,"['scifi', 'drama', 'action']","['US']",8,"tt3107288",7.6,336888,751.315,7.8,-4.35385913056482,"Low"
"ts20292","Gotham","SHOW","Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",2014,"TV-14",43,"['scifi', 'action', 'crime', 'drama', 'thriller']","['US']",5,"tt3749900",7.8,226081,170.642,7.6,-2.34651259758404,"Low"
"ts16045","Are You The One?","SHOW","In the most ambitious dating experiment ever attempted, a group of gorgeous single women and guys are put through an extensive and scientific matchmaking process to find their Perfect Match.",2014,"TV-14",41,"['reality']","['US']",8,"tt3484274",6.5,2450,15.818,5.9,0.639983332284681,"High"
"ts8146","The 100","SHOW","100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",2014,"TV-14",42,"['drama', 'action', 'scifi']","['US']",7,"tt2661044",7.6,242221,224.641,7.9,-2.61039696784504,"Low"
"ts21374","How to Get Away with Murder","SHOW","A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",2014,"TV-14",43,"['drama', 'thriller', 'crime']","['US']",6,"tt3205802",8.1,146712,59.834,7.9,-2.07499542978322,"Low"
"ts20248","Reign","SHOW","Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.",2013,"TV-14",42,"['drama', 'fantasy']","['US']",4,"tt2710394",7.5,47751,48.886,8,-1.37346376416479,"Low"
"ts14583","BoJack Horseman","SHOW","Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",2014,"TV-MA",26,"['drama', 'comedy', 'animation']","['US']",6,"tt3398228",8.8,143584,92.62,8.6,-2.94295744290321,"Low"
"ts6","House of Cards","SHOW","Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",2013,"TV-MA",52,"['drama']","['US']",6,"tt1856010",8.7,494092,46.137,8.1,-3.84708354816603,"Low"
"ts20108","Henry Danger","SHOW","When 13-year-old Henry Hart lands a job as Danger, the sidekick-in-training to superhero Captain Man, he must learn to navigate a double life balancing the challenges of 8th grade with the crazy adventures of a real-life crime fighter!",2014,"TV-G",24,"['scifi', 'action', 'comedy', 'family']","['US']",5,"tt3596174",5.6,5245,121.52,8.2,-0.434803184532893,"Medium"
"ts20823","Orange Is the New Black","SHOW","A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.",2013,"TV-MA",59,"['drama', 'comedy', 'crime']","['US']",7,"tt2372162",8.1,295591,72.825,7.7,-2.57904484843466,"Low"
"ts20824","The Originals","SHOW","A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.",2013,"TV-14",43,"['scifi', 'drama', 'fantasy', 'horror']","['US']",5,"tt2632424",8.3,131574,139.994,8.6,-2.73995622323326,"Low"
