"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","PC1","PC1_category"
"ts44663","Oscar's Oasis","SHOW","Oscar's Oasis is a is non-verbal animated cartoon produced by TeamTO and Tuba Entertainment in association with Cake Entertainment based on the original show broadcast on Disney Channel Asia. It started as a series of 1-2 minute shorts under the title Ooohhh Asis. Oscar's Oasis can be viewed on the Nintendo 3DS in 3D via Nintendo Video in Australia and Europe. In the United States, all 78 episodes can be seen on Netflix Streaming grouped into 19 meta-episodes of 4 episodes each and 1 meta-episode containing the last 2 episodes. In Latin America and Brazil, the Spanish and Portuguese dub airs on Cartoon Network Latin America.",2010,"TV-Y",9,"['animation', 'comedy', 'european']","['FR']",1,"tt2080922",7.4,572,7.759,7.3,-0.62830086077168,"Low"
"ts37200","Trotro","SHOW","Trotro is a little donkey with a head full of ideas. He knows exactly what he likes and doesn't like. He's a positive and engaging hero, with whom young children will easily identify.",2004,"TV-G",3,"['animation', 'family', 'european']","['FR']",2,"tt1074443",6.2,120,2.886,7.2,0.126234206243384,"Medium"
"ts56589","Tayo the Little Bus","SHOW","Tayo the Little Bus is a South Korean computer-generated animated television series created by Educational Broadcasting System, Iconix Entertainment, Seoul and Hot Animation which is owned by HiT Entertainment. The Korean-dubbed series began airing on EBS in 2010 and the English-dubbed series aired on Disney Junior in 2012. The latter is also scheduled to air on Disney Channel and Cartoonito in 2013. The narrator of the UK series is Michael Angelis who also narrates the UK series of Thomas & Friends.",2010,"TV-Y",11,"['animation', 'comedy', 'family']","['KR']",6,"tt3270208",5.2,156,6.172,6.3,1.19130521629868,"High"
"ts1413","Autumn's Concerto","SHOW","Autumn's Concerto is a 2009 Taiwanese drama starring Ady An, Vanness Wu of F4, and Tiffany Hsu. It was produced by Sanlih E-Television and directed by Chen Hui Ling. The drama started filming in June 2009 and was completed in December 2009.

It was first broadcast in Taiwan on free-to-air Taiwan Television from 4 October 2009 to 28 February 2010, on Sundays at 22:00 to 23:30. It was also shown on cable TV Sanlih E-Television on 10 October 2009 to 6 March 2010 on Saturdays at 21:00 to 22:30.

Autumn's Concerto was nominated in 2010 for Best Marketing Programme at the 45th Golden Bell Awards, Taiwan.

Known as the drama serial which shot the child actor Xiao Xiao Bin to stardom, Autumn's Concerto has broken records with its high ratings. Scoring 8.23 as its peak point for episode 18, which aired January 31, 2010, Autumn's Concerto has broken the records of The Prince Who Turns into a Frog to become the second highest rating Taiwanese idol drama, the highest rating being held by Fated to Love You. Autumn's Concerto now airs on Hawaii's KIKU television, weekly on Saturday's at 7:00.",2009,"TV-14",58,"['drama', 'romance']","['TW']",1,"tt3530668",7.9,475,9.386,7.8,-1.19743935287884,"Low"
"ts4866","Fated to Love You","SHOW","Fated to Love You, also known as You're My Destiny, Sticky Note Girl or Destiny Love, is a 2008 Taiwanese drama starring Joe Chen, Ethan Juan, Baron Chen and Bianca Bai. It was produced by Sanlih E-Television and directed by Chen Ming Zhang with location filming in Taiwan, Hong Kong and Shanghai. It holds the record for the highest average single-episode rating at 10.91 with a peak at 13.64 for episode 20 broadcast on 27 July 2008, and broke the previous record held by The Prince Who Turns Into a Frog.

The series was first broadcast in Taiwan on free-to-air Taiwan Television from 16 March 2008 to 24 August 2008, every Sunday at 22:00 and cable TV Sanlih E-Television from 22 March 2008 to 30 August 2008, every Saturday at 21:00.

Fated to Love You was nominated in 2008 for six awards at the 43rd Golden Bell Awards, Taiwan. It was awarded the 2008 Best Television Series and Best Marketing Programme.

Fated to Love You is now aired on Saturday's on Hawaii's KIKU Television at 8:00.",2008,"TV-G",67,"['drama', 'comedy', 'romance']","['TW']",1,"tt1483930",7.4,461,3.878,7.3,-0.617329137266904,"Low"
"ts34414","Nuevo Rico Nuevo Pobre","SHOW","Nuevo Rico Nuevo Pobre is a Colombian telenovela produced and broadcast by Caracol TV starring Martín Karpan, John Alex Toro, Maria Cecilia Botero, Carolina Acevedo, Hugo Gómez, former Miss Colombia Andrea Noceti and Andrés Toro.

The show started on July 16, 2007 on Caracol TV and it is also broadcast on Ecuador's Teleamazonas in primetime. Caracol TV has sold the rights of the show to Telemundo and Fox. It is, as of May 2008, one of the highest rated TV shows in Colombia.",2007,"TV-MA",44,"['comedy']","['CO']",1,"tt1233451",7.2,203,19.697,7.7,-0.769619354737564,"Low"
"ts18653","Chhota Bheem","SHOW","Chhota Bheem is an Indian animated series adventures about a boy named Bheem and his friends in fictional village of Dholakpur.Bheem and his friends are usually involved in protecting the village from various evil forces.",2008,"",22,"['action', 'animation', 'comedy']","['IN']",12,"tt4570986",4.1,822,3,6.1,1.93596626519282,"High"
"ts67595","Pedro El Escamoso","SHOW","Pedro el escamoso is a popular telenovela filmed in Colombia and produced by the Colombian network, Caracol TV.

This novela is about a cheesy but charming macho man who lives in a small town in Colombia. He moves to the city to find his fortune and encounters a series of events and people that change his life dramatically. Pedro is the epitome of a man who can get all the women he wants, but can't get the one he loves.",2001,"TV-14",0,"['drama', 'comedy']","['CO']",1,"tt0283770",7.5,303,46.411,7.8,-1.06948218072515,"Low"
"ts29199","Monty Python's Personal Best","SHOW","A series of six outrageous one-hour specials showcasing the groundbreaking comedians.",2006,"TV-PG",56,"['comedy']","['US', 'GB']",1,"tt0795156",7.9,437,0.673,8,-1.28575843614945,"Low"
"ts12444","The Fierce Wife","SHOW","The Fierce Wife, or The Shrewd Wife in Singapore, is a 2010 Taiwanese drama starring Sonia Sui, Wen Sheng Hao, Chris Wang and Amanda Zhu. It was a TTV and Sanlih E-Television co-presentation, and was directed by Xu Fu Jun. The filming started in October 2010, and was first broadcast on 5 November 2010. It’s been on the air ever since.

Before The Fierce Wife was produced, both Sonia Sui and Wen Sheng Hao had acted in two TTV productions, The Year of Happiness and Love and PS Man. The Fierce Wife, The Year of Happiness and Love, and PS Man all feature youth idol.

On 9 June 2011, The Fierce Wife, described as “the most talked about TV show in Taiwan,” entered the Japanese market, renamed Does Marriage Guarantee Happiness. It was broadcast on BS Nittele in Chinese with Japanese subtitles, every Thursday at 2300 in high definition, six times as high as in Taiwan. The whole TV series was divided into 34 episodes in Japan, and the DVDs in both Chinese and Japanese went on sale on 20 June 2012.

The TV series was a big hit in 2011. “Xiaosan” or “Little Third”, “the other woman” in the story, has become a popular euphemism thanks to the show. Also, merchandise has sold well in Taiwan and abroad. The popular drama was nominated for a number of Golden Bell Awards. Some controversial parts of the story received heated discussion, and the producer Wang Pei Hua decided to make it into a feature movie set four years after the main female character Xie An Zhen get divorced. A press conference to announce the film adaptation The Fierce Wife: The Final Episode, was held on 20 January 2012. The film was released on 17 August 2012.",2010,"TV-MA",59,"['drama']","['TW']",1,"tt4304720",6.8,90,4.571,5.3,0.845244219515059,"High"
